instrument,displayName,pip,maxTradeUnits
AUD_CAD,AUD/CAD,0.0001,10000000
AUD_CHF,AUD/CHF,0.0001,10000000
AUD_JPY,AUD/JPY,0.01,10000000
AUD_NZD,AUD/NZD,0.0001,10000000
AUD_USD,AUD/USD,0.0001,10000000
CAD_CHF,CAD/CHF,0.0001,10000000
CAD_JPY,CAD/JPY,0.01,10000000
CHF_JPY,CHF/JPY,0.01,10000000
EUR_AUD,EUR/AUD,0.0001,10000000
EUR_CAD,EUR/CAD,0.0001,10000000
EUR_CHF,EUR/CHF,0.0001,10000000
EUR_GBP,EUR/GBP,0.0001,10000000
EUR_JPY,EUR/JPY,0.01,10000000
EUR_NZD,EUR/NZD,0.0001,10000000
EUR_USD,EUR/USD,0.0001,10000000
GBP_AUD,GBP/AUD,0.0001,10000000
GBP_CAD,GBP/CAD,0.0001,10000000
GBP_CHF,GBP/CHF,0.0001,10000000
GBP_JPY,GBP/JPY,0.01,10000000
GBP_NZD,GBP/NZD,0.0001,10000000
GBP_USD,GBP/USD,0.0001,10000000
NZD_CAD,NZD/CAD,0.0001,10000000
NZD_CHF,NZD/CHF,0.0001,10000000
NZD_JPY,NZD/JPY,0.01,10000000
NZD_USD,NZD/USD,0.0001,10000000
USD_CAD,USD/CAD,0.0001,10000000
USD_CHF,USD/CHF,0.0001,10000000
USD_HKD,USD/HKD,0.0001,10000000
USD_JPY,USD/JPY,0.01,10000000